	i	sn	stats_code	size_htm
603	603	1917688311	200	96697
604	604	1917689207	200	97209
605	605	1917690301	200	98519
606	606	1917712933	200	99453
607	607	1917721145	200	98729
608	608	1917721537	200	86952
609	609	1917721539	200	97128
610	610	1917722127	200	94949
611	611	1917724273	200	99079
612	612	1917724275	200	98488
613	613	1917727277	200	101749
614	614	1917727427	200	96184
615	615	1917727429	200	81209
616	616	1917736969	200	95163
617	617	1917756231	200	93588
618	618	1917764005	200	94281
619	619	1917777491	200	92757
620	620	1917786283	200	95172
621	621	1917786359	200	96288
622	622	1917786573	200	95601
623	623	1917787759	200	95237
624	624	1917794091	200	97366
625	625	1917805487	200	100642
626	626	1917807525	200	97644
627	627	1917810893	200	90160
628	628	1917813013	200	97860
629	629	1917814725	200	96994
630	630	1917819621	200	95793
631	631	1917819991	200	97973
632	632	1917820187	200	97420
633	633	1917820303	200	94942
634	634	1917831393	200	93663
635	635	1917840071	200	98682
636	636	1917846287	200	92381
637	637	1917850641	200	96766
638	638	1917859273	200	95730
639	639	1917860359	200	91708
640	640	1917862691	200	92489
641	641	1917880385	200	93753
642	642	1917881887	200	95027
643	643	1917882929	200	97384
644	644	1917885429	200	94338
645	645	1917917993	200	96727
646	646	1917924125	200	97305
647	647	1917930991	200	96069
648	648	1917931965	200	96223
649	649	1917947785	200	94479
650	650	1917965657	200	98620
651	651	1917968091	200	98984
652	652	1918002927	200	98812
653	653	1918042109	200	91678
654	654	1918051271	200	94995
655	655	1918051289	200	97234
656	656	1918060139	200	98708
657	657	1918062239	200	96915
658	658	1918070763	200	89494
659	659	1918075891	200	93534
660	660	1918105849	200	89359
661	661	1918108653	200	97081
662	662	1918111021	200	99023
663	663	1918111115	200	94033
664	664	1918112145	200	97387
665	665	1918113111	200	96529
666	666	1918126123	200	93221
667	667	1918134601	200	95555
668	668	1918134615	200	85187
669	669	1918140459	200	100827
670	670	1918142155	200	98796
671	671	1918142185	200	90316
672	672	1918143147	200	95668
673	673	1918150689	200	94299
674	674	1918157205	200	88341
675	675	1918157929	200	92868
676	676	1918158029	200	94433
677	677	1918192073	200	94703
678	678	1918196671	200	100202
679	679	1918197205	200	96420
680	680	1918203243	200	94280
681	681	1918219893	200	90405
682	682	1918221827	200	94879
683	683	1918227851	200	96983
684	684	1918235127	200	98674
685	685	1918238293	200	93358
686	686	1918242611	200	94020
687	687	1918243297	200	101419
688	688	1918260129	200	96466
689	689	1918292699	200	86218
690	690	1918293323	200	98566
691	691	1918296889	200	98558
692	692	1918303381	200	99188
693	693	1918307659	200	97484
694	694	1918311543	200	97445
695	695	1918315021	200	98234
696	696	1918332001	200	98255
697	697	1918333797	200	97801
698	698	1918344831	200	99631
699	699	1918365221	200	89803
700	700	1918376367	200	99077
701	701	1918376369	200	97741
702	702	1918382041	200	84922
703	703	1918382055	200	84920
704	704	1918384471	200	94350
705	705	1918388019	200	93960
706	706	1918388021	200	94596
707	707	1918409989	200	94032
708	708	1918413911	200	104763
709	709	1918417267	200	98136
710	710	1918422693	200	89042
711	711	1918478393	200	100112
712	712	1918491405	200	81529
713	713	1918495459	200	95775
714	714	1918495943	200	104305
715	715	1918503015	200	102078
716	716	1918515505	200	97794
717	717	1918521833	200	97947
718	718	1918522291	200	98120
719	719	1918546735	200	99705
720	720	1918554967	200	97679
721	721	1918557939	200	97828
722	722	1918558431	200	98928
723	723	1918564697	200	97894
724	724	1918567037	200	88489
725	725	1918570669	200	98210
726	726	1918577369	200	98311
727	727	1918592129	200	98446
728	728	1918597495	200	100750
729	729	1918604701	200	94664
730	730	1918626263	200	99082
731	731	1918628811	200	91614
732	732	1918628813	200	91634
733	733	1918644653	200	98492
734	734	1918666805	200	95835
735	735	1918668063	200	101884
736	736	1918677423	200	95933
737	737	1918679179	200	96599
738	738	1918693795	200	97427
739	739	1918703499	200	98956
740	740	1918704901	200	100200
741	741	1918712469	200	94018
742	742	1918724665	200	95822
743	743	1918742603	200	94506
744	744	1918742757	200	99230
745	745	1918753071	200	98801
746	746	1918754041	200	98702
747	747	1918776369	200	98390
748	748	1918778949	200	97564
749	749	1918788905	200	70777
750	750	1918813789	200	98957
751	751	1918813809	200	93908
752	752	1918841251	200	100173
753	753	1918841307	200	100278
754	754	1918858725	200	86190
755	755	1918858991	200	97084
756	756	1918875723	200	96939
757	757	1918883451	200	95113
758	758	1918883453	200	96341
759	759	1918883455	200	97596
760	760	1918887533	200	98698
761	761	1918891403	200	92218
762	762	1918892925	200	96266
763	763	1918892979	200	96540
764	764	1918893751	200	93842
765	765	1918908173	200	96727
766	766	1918922433	200	94727
767	767	1918929951	200	93693
768	768	1918936535	200	97212
769	769	1918946627	200	95049
770	770	1918954797	200	98101
771	771	1918954799	200	96901
772	772	1918960135	200	99196
773	773	1918961523	200	95017
774	774	1918963443	200	86905
775	775	1918963451	200	89804
776	776	1918963453	200	88253
777	777	1918966381	200	98955
778	778	1918966383	200	94901
779	779	1918966385	200	98058
780	780	1918966387	200	97680
781	781	1918970949	200	96130
782	782	1918971007	200	95662
783	783	1918989497	200	96492
784	784	1918994193	200	97312
785	785	1918999261	200	95028
786	786	1919008409	200	98731
787	787	1919009223	200	95744
788	788	1919009249	200	93767
789	789	1919009897	200	95173
790	790	1919010481	200	95881
791	791	1919010769	200	98700
792	792	1919012193	200	96469
793	793	1919014083	200	98954
794	794	1919036047	200	92992
795	795	1919052849	200	96371
796	796	1919075721	200	99693
